year_month,Country,AverageTemperature
1829-09,United States,14.646
1829-10,United States,9.41
1829-11,United States,0.8500000000000001
1829-12,United States,-2.21
1830-01,United States,-3.184
1830-02,United States,-0.3959999999999999
1830-03,United States,2.605
1830-04,United States,8.823
1830-05,United States,12.994000000000002
1830-06,United States,18.292
1830-07,United States,22.816
1830-08,United States,20.417
1830-09,United States,14.802
1830-10,United States,9.557
1830-11,United States,5.51
1830-12,United States,-1.6549999999999998
1831-01,United States,-4.921
1831-02,United States,-3.167
1831-03,United States,2.504
1831-04,United States,7.258999999999999
1831-05,United States,13.387
1831-06,United States,18.701
1831-07,United States,20.806
1831-08,United States,19.725
1831-09,United States,14.002
1831-10,United States,8.537
1831-11,United States,1.45
1831-12,United States,-5.634
1832-01,United States,-3.4920000000000004
1832-02,United States,-3.378
1832-03,United States,3.056
1832-04,United States,8.014000000000001
1832-05,United States,12.851
1832-06,United States,18.596
1832-07,United States,21.043000000000003
1832-08,United States,18.667
1832-09,United States,14.722
1832-10,United States,9.104
1832-11,United States,2.089
1832-12,United States,-2.303
1833-01,China,-8.636999999999999
1833-01,United States,-2.264
1833-02,China,-5.766
1833-02,United States,-1.473
1833-03,China,-0.2119999999999997
1833-03,United States,2.461
1833-04,China,6.847
1833-04,United States,8.215
1833-05,China,12.857
1833-05,United States,13.602
1833-06,China,17.132
1833-06,United States,18.105
1833-07,China,19.432
1833-07,United States,21.092
1833-08,China,17.803
1833-08,United States,20.136
1833-09,China,13.409
1833-09,United States,15.81
1833-10,China,6.034
1833-10,United States,7.8610000000000015
1833-11,China,0.426
1833-11,United States,3.764
1833-12,China,-6.853
1833-12,United States,-1.5659999999999998
1834-01,China,-10.880999999999998
1834-01,United States,-5.445
1834-02,China,-5.7970000000000015
1834-02,United States,-0.1399999999999999
1834-03,China,1.896
1834-03,United States,3.033
1834-04,China,7.279
1834-04,United States,8.405000000000001
1834-05,China,13.542
1834-05,United States,13.831
1834-06,China,17.014
1834-06,United States,18.164
1834-07,China,19.733
1834-07,United States,21.747
1834-08,China,17.908
1834-08,United States,20.436
1834-09,China,13.841
1834-09,United States,15.213
1834-10,China,6.399
1834-10,United States,8.843
1834-11,China,0.373
1834-11,United States,3.726
1834-12,China,-6.089
1834-12,United States,-1.858
1835-01,China,-7.7799999999999985
1835-01,United States,-2.3020000000000005
1835-02,China,-4.743
